Usn,File name,File name length,Reason #,Reason,Time stamp,File attributes #,File attributes,File ID,Parent file ID,Source info #,Source info,Security ID,Major version,Minor version,Record length,Number of extents,Remaining extents,Extent,Offset,Length
25898901872,"FSUTIL.EXE-D55680E4.pf",44,0x00000004,"Data truncation","23-Oct-20 18:47:48",0x00002020,"Archive | Not content indexed",00000000000000000247000000000b4c,0000000000000000000a000000017e52,0x00000000,"*NONE*",0,3,0,120
25898901976,"FSUTIL.EXE-D55680E4.pf",44,0x00000006,"Data extend | Data truncation","23-Oct-20 18:47:48",0x00002020,"Archive | Not content indexed",00000000000000000247000000000b4c,0000000000000000000a000000017e52,0x00000000,"*NONE*",0,3,0,120
25898902080,"FSUTIL.EXE-D55680E4.pf",44,0x80000006,"Data extend | Data truncation | Close","23-Oct-20 18:47:48",0x00002020,"Archive | Not content indexed",00000000000000000247000000000b4c,0000000000000000000a000000017e52,0x00000000,"*NONE*",0,3,0,120
25898902184,"CMD.EXE-6D6290C5.pf",38,0x00000004,"Data truncation","23-Oct-20 18:47:48",0x00002020,"Archive | Not content indexed",00000000000000000060000000007cbb,0000000000000000000a000000017e52,0x00000000,"*NONE*",0,3,0,120
25898902288,"CMD.EXE-6D6290C5.pf",38,0x00000006,"Data extend | Data truncation","23-Oct-20 18:47:48",0x00002020,"Archive | Not content indexed",00000000000000000060000000007cbb,0000000000000000000a000000017e52,0x00000000,"*NONE*",0,3,0,120
25898902392,"CMD.EXE-6D6290C5.pf",38,0x80000006,"Data extend | Data truncation | Close","23-Oct-20 18:47:48",0x00002020,"Archive | Not content indexed",00000000000000000060000000007cbb,0000000000000000000a000000017e52,0x00000000,"*NONE*",0,3,0,120
25898902496,"CIPHER.EXE-362AFDA8.pf",44,0x00000004,"Data truncation","23-Oct-20 18:47:48",0x00002020,"Archive | Not content indexed",0000000000000000007b0000000cd1f2,0000000000000000000a000000017e52,0x00000000,"*NONE*",0,3,0,120
25898902600,"CIPHER.EXE-362AFDA8.pf",44,0x00000006,"Data extend | Data truncation","23-Oct-20 18:47:48",0x00002020,"Archive | Not content indexed",0000000000000000007b0000000cd1f2,0000000000000000000a000000017e52,0x00000000,"*NONE*",0,3,0,120
25898902704,"CIPHER.EXE-362AFDA8.pf",44,0x80000006,"Data extend | Data truncation | Close","23-Oct-20 18:47:48",0x00002020,"Archive | Not content indexed",0000000000000000007b0000000cd1f2,0000000000000000000a000000017e52,0x00000000,"*NONE*",0,3,0,120
25898902808,"PYTHON.EXE-79D5DF66.pf",44,0x00000004,"Data truncation","23-Oct-20 18:47:58",0x00002020,"Archive | Not content indexed",00000000000000000068000000007e4b,0000000000000000000a000000017e52,0x00000000,"*NONE*",0,3,0,120
25898902912,"PYTHON.EXE-79D5DF66.pf",44,0x00000006,"Data extend | Data truncation","23-Oct-20 18:47:58",0x00002020,"Archive | Not content indexed",00000000000000000068000000007e4b,0000000000000000000a000000017e52,0x00000000,"*NONE*",0,3,0,120
25898903016,"PYTHON.EXE-79D5DF66.pf",44,0x80000006,"Data extend | Data truncation | Close","23-Oct-20 18:47:58",0x00002020,"Archive | Not content indexed",00000000000000000068000000007e4b,0000000000000000000a000000017e52,0x00000000,"*NONE*",0,3,0,120
